hidden_size,prune_ratio,dataset_complexity,accuracy_drop
16,0.2,0.1,9.999999999998899e-05
16,0.2,0.3,0.0
16,0.2,0.5,0.0
16,0.2,0.7,0.0008000000000000229
16,0.2,1.0,0.00039999999999995595
16,0.4,0.1,0.0
16,0.4,0.3,0.00029999999999996696
16,0.4,0.5,0.0018000000000000238
16,0.4,0.7,0.0012999999999999678
16,0.4,1.0,0.0008999999999999009
16,0.6,0.1,0.005299999999999971
16,0.6,0.3,0.0009000000000000119
16,0.6,0.5,0.0025000000000000577
16,0.6,0.7,0.0041999999999999815
16,0.6,1.0,0.0
16,0.8,0.1,0.0046999999999999265
16,0.8,0.3,0.01100000000000001
16,0.8,0.5,0.0121
16,0.8,0.7,0.02070000000000005
16,0.8,1.0,0.015199999999999991
16,0.9,0.1,0.0341999999999999
16,0.9,0.3,0.047599999999999976
16,0.9,0.5,0.03269999999999995
16,0.9,0.7,0.04809999999999992
16,0.9,1.0,0.04820000000000002
32,0.2,0.1,9.999999999998899e-05
32,0.2,0.3,0.00040000000000006697
32,0.2,0.5,0.00029999999999996696
32,0.2,0.7,0.0
32,0.2,1.0,0.000200000000000089
32,0.4,0.1,0.0
32,0.4,0.3,0.0
32,0.4,0.5,0.0
32,0.4,0.7,0.0
32,0.4,1.0,0.0
32,0.6,0.1,0.0013999999999999568
32,0.6,0.3,0.0037000000000000366
32,0.6,0.5,0.0034999999999999476
32,0.6,0.7,0.0009000000000000119
32,0.6,1.0,0.0016000000000000458
32,0.8,0.1,0.007799999999999918
32,0.8,0.3,0.00649999999999995
32,0.8,0.5,0.005099999999999993
32,0.8,0.7,0.012800000000000034
32,0.8,1.0,0.007600000000000051
32,0.9,0.1,0.024700000000000055
32,0.9,0.3,0.030200000000000005
32,0.9,0.5,0.03589999999999993
32,0.9,0.7,0.06920000000000004
32,0.9,1.0,0.05069999999999997
64,0.2,0.1,0.0013999999999999568
64,0.2,0.3,0.0
64,0.2,0.5,0.00019999999999997797
64,0.2,0.7,0.0
64,0.2,1.0,9.999999999998899e-05
64,0.4,0.1,0.0
64,0.4,0.3,0.0005999999999999339
64,0.4,0.5,0.0015000000000000568
64,0.4,0.7,0.0006999999999999229
64,0.4,1.0,0.0004999999999999449
64,0.6,0.1,0.0028000000000000247
64,0.6,0.3,0.0030000000000000027
64,0.6,0.5,0.0019000000000000128
64,0.6,0.7,0.00040000000000006697
64,0.6,1.0,0.0016000000000000458
64,0.8,0.1,0.005199999999999982
64,0.8,0.3,0.00539999999999996
64,0.8,0.5,0.0027000000000000357
64,0.8,0.7,0.008000000000000007
64,0.8,1.0,0.0029000000000000137
64,0.9,0.1,0.0122000000000001
64,0.9,0.3,0.02650000000000008
64,0.9,0.5,0.025899999999999923
64,0.9,0.7,0.01629999999999998
64,0.9,1.0,0.02510000000000001
128,0.2,0.1,0.00039999999999995595
128,0.2,0.3,0.00019999999999997797
128,0.2,0.5,0.0
128,0.2,0.7,0.0
128,0.2,1.0,0.000500000000000056
128,0.4,0.1,0.0
128,0.4,0.3,0.0
128,0.4,0.5,0.0010999999999999899
128,0.4,0.7,0.0
128,0.4,1.0,0.0006000000000000449
128,0.6,0.1,0.0008000000000000229
128,0.6,0.3,0.0021999999999999797
128,0.6,0.5,0.0007000000000000339
128,0.6,0.7,0.0006000000000000449
128,0.6,1.0,0.0019000000000000128
128,0.8,0.1,0.0011999999999999789
128,0.8,0.3,0.0047000000000000375
128,0.8,0.5,0.0039000000000000146
128,0.8,0.7,0.0023000000000000798
128,0.8,1.0,0.0049000000000000155
128,0.9,0.1,0.0050000000000000044
128,0.9,0.3,0.013900000000000023
128,0.9,0.5,0.008600000000000052
128,0.9,0.7,0.013499999999999956
128,0.9,1.0,0.017199999999999993
256,0.2,0.1,0.00029999999999996696
256,0.2,0.3,9.999999999998899e-05
256,0.2,0.5,0.0
256,0.2,0.7,0.000300000000000078
256,0.2,1.0,0.0
256,0.4,0.1,0.0006999999999999229
256,0.4,0.3,0.0011999999999999789
256,0.4,0.5,0.00019999999999997797
256,0.4,0.7,0.0
256,0.4,1.0,0.0009000000000000119
256,0.6,0.1,0.0010999999999999899
256,0.6,0.3,0.0008000000000000229
256,0.6,0.5,0.0010999999999999899
256,0.6,0.7,0.000500000000000056
256,0.6,1.0,0.0012999999999999678
256,0.8,0.1,0.009199999999999986
256,0.8,0.3,0.0011999999999999789
256,0.8,0.5,0.0044999999999999485
256,0.8,0.7,0.005499999999999949
256,0.8,1.0,0.0030000000000000027
256,0.9,0.1,0.012700000000000045
256,0.9,0.3,0.008100000000000107
256,0.9,0.5,0.011499999999999955
256,0.9,0.7,0.006800000000000028
256,0.9,1.0,0.00770000000000004
512,0.2,0.1,0.00019999999999997797
512,0.2,0.3,0.0
512,0.2,0.5,0.0009000000000000119
512,0.2,0.7,0.0
512,0.2,1.0,0.000500000000000056
512,0.4,0.1,0.00039999999999995595
512,0.4,0.3,0.0
512,0.4,0.5,0.00039999999999995595
512,0.4,0.7,0.0007000000000000339
512,0.4,1.0,0.0
512,0.6,0.1,0.0021999999999999797
512,0.6,0.3,0.0
512,0.6,0.5,0.0023999999999999577
512,0.6,0.7,0.0006999999999999229
512,0.6,1.0,0.0
512,0.8,0.1,0.009099999999999997
512,0.8,0.3,0.0044999999999999485
512,0.8,0.5,0.0014999999999999458
512,0.8,0.7,0.00539999999999996
512,0.8,1.0,0.0023999999999999577
512,0.9,0.1,0.0
512,0.9,0.3,0.008899999999999908
512,0.9,0.5,0.008399999999999963
512,0.9,0.7,0.009299999999999975
512,0.9,1.0,0.006299999999999972
1024,0.2,0.1,0.0
1024,0.2,0.3,0.0
1024,0.2,0.5,0.0006000000000000449
1024,0.2,0.7,0.00019999999999997797
1024,0.2,1.0,0.000200000000000089
1024,0.4,0.1,0.00039999999999995595
1024,0.4,0.3,0.0
1024,0.4,0.5,0.0019000000000000128
1024,0.4,0.7,0.000300000000000078
1024,0.4,1.0,0.0010999999999999899
1024,0.6,0.1,0.00039999999999995595
1024,0.6,0.3,0.00029999999999996696
1024,0.6,0.5,0.0010000000000000009
1024,0.6,0.7,0.0013999999999999568
1024,0.6,1.0,0.0018000000000000238
1024,0.8,0.1,0.0034000000000000696
1024,0.8,0.3,0.0045999999999999375
1024,0.8,0.5,0.0042999999999999705
1024,0.8,0.7,0.008299999999999974
1024,0.8,1.0,0.0038000000000000256
1024,0.9,0.1,0.0036999999999999256
1024,0.9,0.3,0.0047999999999999154
1024,0.9,0.5,0.008400000000000074
1024,0.9,0.7,0.008700000000000041
1024,0.9,1.0,0.00770000000000004
2048,0.2,0.1,0.0
2048,0.2,0.3,0.00019999999999997797
2048,0.2,0.5,0.00029999999999996696
2048,0.2,0.7,0.0
2048,0.2,1.0,0.0
2048,0.4,0.1,0.0007000000000000339
2048,0.4,0.3,0.0004999999999999449
2048,0.4,0.5,0.0006000000000000449
2048,0.4,0.7,0.0
2048,0.4,1.0,0.0014000000000000679
2048,0.6,0.1,0.000500000000000056
2048,0.6,0.3,0.0026000000000000467
2048,0.6,0.5,0.0014000000000000679
2048,0.6,0.7,0.0
2048,0.6,1.0,0.00040000000000006697
2048,0.8,0.1,0.007200000000000095
2048,0.8,0.3,0.0034999999999999476
2048,0.8,0.5,0.007400000000000073
2048,0.8,0.7,0.0036000000000000476
2048,0.8,1.0,0.0044999999999999485
2048,0.9,0.1,0.019100000000000006
2048,0.9,0.3,0.011800000000000033
2048,0.9,0.5,0.024800000000000044
2048,0.9,0.7,0.015100000000000002
2048,0.9,1.0,0.008900000000000019
